Trial,Subject,Phase,Stimulus,Stimulus Type,Probe,Probe Type,Response,Accuracy,RT
116,PSE-131,Test,none,Colour_Word,shoe,New,no,1,2099
120,PSE-131,Test,none,Colour_Word,belt,New,yes,0,2128
42,PSE-131,Test,none,Colour_Word,flag,Old,yes,1,1237
48,PSE-131,Test,none,Colour_Word,duck,Old,yes,1,1512
62,PSE-131,Test,none,Colour_Word,nose,Old,yes,1,1220
63,PSE-131,Test,none,Colour_Word,refrigerator,Old,yes,1,1095
65,PSE-131,Test,none,Colour_Word,paintbrush,Old,yes,1,1428
69,PSE-131,Test,none,Colour_Word,motorcycle,Old,yes,1,1136
76,PSE-131,Test,none,Colour_Word,pen,Old,yes,1,1962
81,PSE-131,Test,none,Colour_Word,stool,Old,yes,1,1093
106,PSE-131,Test,none,Colour_Word,peanut,Old,yes,1,1042
119,PSE-131,Test,none,Colour_Word,coat,Old,yes,1,1490
5,PSE-132,Study,pineapple,BW_Picture,none,none,none,-1,-1
9,PSE-132,Study,saw,BW_Picture,none,none,none,-1,-1
10,PSE-132,Study,bow,BW_Picture,none,none,none,-1,-1
12,PSE-132,Study,umbrella,BW_Picture,none,none,none,-1,-1
14,PSE-132,Study,snake,BW_Picture,none,none,none,-1,-1
17,PSE-132,Study,racoon,BW_Picture,none,none,none,-1,-1
22,PSE-132,Study,pepper,BW_Picture,none,none,none,-1,-1
25,PSE-132,Study,cow,BW_Picture,none,none,none,-1,-1
37,PSE-132,Study,rooster,BW_Picture,none,none,none,-1,-1
38,PSE-132,Study,owl,BW_Picture,none,none,none,-1,-1
4,PSE-132,Study,ear,BW_Word,none,none,none,-1,-1
6,PSE-132,Study,lemon,BW_Word,none,none,none,-1,-1
8,PSE-132,Study,motorcycle,BW_Word,none,none,none,-1,-1
19,PSE-132,Study,stove,BW_Word,none,none,none,-1,-1
23,PSE-132,Study,tomato,BW_Word,none,none,none,-1,-1
28,PSE-132,Study,purse,BW_Word,none,none,none,-1,-1
33,PSE-132,Study,kangaroo,BW_Word,none,none,none,-1,-1
34,PSE-132,Study,wagon,BW_Word,none,none,none,-1,-1
36,PSE-132,Study,table,BW_Word,none,none,none,-1,-1
39,PSE-132,Study,pitcher,BW_Word,none,none,none,-1,-1
1,PSE-132,Study,lamp,Colour_Picture,none,none,none,-1,-1
11,PSE-132,Study,bat,Colour_Picture,none,none,none,-1,-1
16,PSE-132,Study,bell,Colour_Picture,none,none,none,-1,-1
18,PSE-132,Study,clock,Colour_Picture,none,none,none,-1,-1
21,PSE-132,Study,artichoke,Colour_Picture,none,none,none,-1,-1
24,PSE-132,Study,church,Colour_Picture,none,none,none,-1,-1
29,PSE-132,Study,toothbrush,Colour_Picture,none,none,none,-1,-1
30,PSE-132,Study,pen,Colour_Picture,none,none,none,-1,-1
31,PSE-132,Study,spool,Colour_Picture,none,none,none,-1,-1
35,PSE-132,Study,lettuce,Colour_Picture,none,none,none,-1,-1
2,PSE-132,Study,penguin,Colour_Word,none,none,none,-1,-1
3,PSE-132,Study,ball,Colour_Word,none,none,none,-1,-1
7,PSE-132,Study,dress,Colour_Word,none,none,none,-1,-1
13,PSE-132,Study,drum,Colour_Word,none,none,none,-1,-1
15,PSE-132,Study,chisel,Colour_Word,none,none,none,-1,-1
20,PSE-132,Study,harp,Colour_Word,none,none,none,-1,-1
26,PSE-132,Study,mountain,Colour_Word,none,none,none,-1,-1
27,PSE-132,Study,snail,Colour_Word,none,none,none,-1,-1
32,PSE-132,Study,sandwich,Colour_Word,none,none,none,-1,-1
40,PSE-132,Study,sun,Colour_Word,none,none,none,-1,-1
43,PSE-132,Test,none,BW_Picture,kettle,New,no,1,1168
45,PSE-132,Test,none,BW_Picture,couch,New,no,1,1008
48,PSE-132,Test,none,BW_Picture,coat,New,no,1,969
49,PSE-132,Test,none,BW_Picture,apple,New,no,1,1264
65,PSE-132,Test,none,BW_Picture,peacock,New,no,1,1616
73,PSE-132,Test,none,BW_Picture,helicopter,New,no,1,959
86,PSE-132,Test,none,BW_Picture,watch,New,no,1,1120
100,PSE-132,Test,none,BW_Picture,nose,New,no,1,1897
113,PSE-132,Test,none,BW_Picture,sweater,New,no,1,2144
114,PSE-132,Test,none,BW_Picture,lock,New,no,1,1687
47,PSE-132,Test,none,BW_Picture,pineapple,Old,yes,1,784
